('https://github.com/airbytehq/airbyte', True)
('https://github.com/ansible/ansible', False)
('https://github.com/apache/arrow', False)
('https://github.com/apache/beam', False)
('https://github.com/apache/doris', False)
('https://github.com/apache/superset', False)
('https://github.com/azure/azure-powershell', False)
('https://github.com/azure/azure-sdk-for-net', True)
('https://github.com/azure/azure-sdk-for-python', False)
('https://github.com/bitnami/containers', True)
('https://github.com/ceph/ceph', True)
('https://github.com/cockroachdb/cockroach', True)
('https://github.com/conda-forge/staged-recipes', False)
('https://github.com/datadog/datadog-agent', True)
('https://github.com/definitelytyped/definitelytyped', True)
('https://github.com/department-of-veterans-affairs/va.gov-team', True)
('https://github.com/department-of-veterans-affairs/vets-api', False)
('https://github.com/dotnet/aspnetcore.docs', True)
('https://github.com/dotnet/aspnetcore', True)
('https://github.com/dotnet/corefx', True)
('https://github.com/dotnet/docs', True)
('https://github.com/dotnet/roslyn', True)
('https://github.com/dotnet/runtime', True)
('https://github.com/dotnet/sdk', False)
('https://github.com/elastic/elasticsearch', True)
('https://github.com/elastic/kibana', True)
('https://github.com/google/protobuf', False)
('https://github.com/gravitational/teleport', True)
('https://github.com/hashicorp/terraform-provider-aws', False)
('https://github.com/hashicorp/terraform-provider-azurerm', False)
('https://github.com/hashicorp/vault', True)
('https://github.com/huggingface/transformers', False)
('https://github.com/istio/istio', True)
('https://github.com/keycloak/keycloak', False)
('https://github.com/kubernetes-incubator/cri-o', False)
('https://github.com/kubernetes/kubernetes', True)
('https://github.com/kubernetes/website', True)
('https://github.com/leanprover-community/mathlib4', True)
('https://github.com/microsoft/vcpkg', True)
('https://github.com/microsoft/vscode', True)
('https://github.com/microsoft/winget-pkgs', True)
('https://github.com/milvus-io/milvus', True)
('https://github.com/mui-org/material-ui', True)
('https://github.com/neovim/neovim',)
('https://github.com/nodejs/node', True)
('https://github.com/openjdk/jdk', False)
('https://github.com/openshift/openshift-docs', True)
('https://github.com/openshift/release', True)
('https://github.com/pandas-dev/pandas', True)
('https://github.com/pingcap/tidb', True)
('https://github.com/projectatomic/libpod', False)
('https://github.com/python/cpython', True)
('https://github.com/pytorch/pytorch', True)
('https://github.com/quarkusio/quarkus', False)
('https://github.com/ray-project/ray', True)
('https://github.com/rust-lang/rust', True)
('https://github.com/saltstack/salt', True)
('https://github.com/spring-projects/spring-boot', True)
('https://github.com/zephyrproject-rtos/zephyr', False)
